Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65e5f5e1ea3e2ceccdb55096,5ee1be444c9d75206ce5aa92,AWAITING REVIEW,Not Applicable,2024-03-04T16:25:11.078000Z,2024-03-04T16:28:46.119000Z,,2024-03-04T16:28:47.212341Z,216.0,C232A6J3,3660,26,Male,Asian,United States,United States,United States,English,No,Full-Time
65e5f5f9cb1ae66c221928ed,57ad04adddc11d00015bb1c3,AWAITING REVIEW,Not Applicable,2024-03-04T16:25:29.171000Z,2024-03-04T16:27:19.583000Z,,2024-03-04T16:27:20.046993Z,111.0,C232A6J3,3807,33,Male,White,United States,United States,United States,English,No,Full-Time
65e5f617fe158501e40a7fcf,5fa1636a77c875235bd8e1f6,AWAITING REVIEW,Not Applicable,2024-03-04T16:26:03.906000Z,2024-03-04T16:29:11.730000Z,,2024-03-04T16:29:12.651869Z,188.0,C232A6J3,3560,29,Male,White,United States,United States,United States,English,No,Full-Time
65e5f61f1997a2e4cb27fc76,6345bfdce5f06f5b4ee98ea8,AWAITING REVIEW,Not Applicable,2024-03-04T16:26:07.794000Z,2024-03-04T16:41:24.095000Z,,2024-03-04T16:41:24.679907Z,917.0,C232A6J3,2963,37,Male,Black,United States,United States,United States,English,No,Full-Time
65e5f654ac7438a9e9d2b193,5c830a66d6a4d0000164097d,AWAITING REVIEW,Not Applicable,2024-03-04T16:27:05.093000Z,2024-03-04T16:32:16.357000Z,,2024-03-04T16:32:16.918634Z,312.0,C232A6J3,5561,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65e5f65943fd9b24a5652178,6547ae55eba4e6b1fffff79f,AWAITING REVIEW,Not Applicable,2024-03-04T16:27:10.175000Z,2024-03-04T16:31:34.109000Z,,2024-03-04T16:31:34.578175Z,264.0,C232A6J3,414,40,Male,White,United States,United States,United States,English,No,Part-Time
65e5f660dd7008cc2adad519,647fe69be349b78b571ecedd,AWAITING REVIEW,Not Applicable,2024-03-04T16:27:21.335000Z,2024-03-04T16:32:43.231000Z,,2024-03-04T16:32:43.745985Z,322.0,C232A6J3,1081,62,Male,White,United States,United States,United States,English,No,Full-Time
65e5f67f0c521e9ac24b2497,5ed1adc2906e0810d6ccccbf,AWAITING REVIEW,Not Applicable,2024-03-04T16:27:49.074000Z,2024-03-04T16:32:09.708000Z,,2024-03-04T16:32:10.416430Z,261.0,C232A6J3,2270,23,Male,Black,United States,United States,United States,English,No,Full-Time
65e5f68f1e96345d986ebccf,5d65515bd08d610001eb40a6,AWAITING REVIEW,Not Applicable,2024-03-04T16:28:14.016000Z,2024-03-04T16:33:26.641000Z,,2024-03-04T16:33:27.682684Z,313.0,C232A6J3,3123,66,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65e5f69b5ba6ac0520388a2f,6449b6ac80df4eb6727b570c,AWAITING REVIEW,Not Applicable,2024-03-04T16:34:54.612000Z,2024-03-04T16:41:12.121000Z,,2024-03-04T16:41:12.752041Z,378.0,C232A6J3,1820,49,Male,White,United States,United States,United States,English,No,Full-Time
65e5f6a547342acc50b2f754,656b9fe2848e68e0b05440f2,AWAITING REVIEW,Not Applicable,2024-03-04T16:28:26.768000Z,2024-03-04T16:34:34.883000Z,,2024-03-04T16:34:35.726022Z,369.0,C232A6J3,638,55,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65e5f6b889cb5b196837521b,6384ec504af00dd4483f521e,AWAITING REVIEW,Not Applicable,2024-03-04T16:28:46.359000Z,2024-03-04T16:30:37.920000Z,,2024-03-04T16:30:38.590268Z,112.0,C232A6J3,1228,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65e5f6b95a7721b1b2e98a33,5cbcfce214b3cb0015f03471,AWAITING REVIEW,Not Applicable,2024-03-04T16:28:46.274000Z,2024-03-04T16:33:54.956000Z,,2024-03-04T16:33:55.533743Z,309.0,C232A6J3,7089,44,Male,White,United States,United States,United States,English,Yes,Full-Time
65e5f6c0c3453b2312ea7e7c,655f91f987dc5be942a60570,AWAITING REVIEW,Not Applicable,2024-03-04T16:29:06.235000Z,2024-03-04T16:35:21.495000Z,,2024-03-04T16:35:22.056762Z,376.0,C232A6J3,340,28,Male,Black,United States,United States,United States,English,No,Full-Time
65e5f6c36cfa65d99f3888e8,558823c2fdf99b318cb4224b,AWAITING REVIEW,Not Applicable,2024-03-04T16:30:47.799000Z,2024-03-04T16:40:24.640000Z,,2024-03-04T16:40:25.206802Z,577.0,C232A6J3,6577,34,Male,White,United States,United States,United States,English,No,Full-Time
65e5f6c970d2d33db2d2b327,62b5dd0fb9686d325c7d1f15,AWAITING REVIEW,Not Applicable,2024-03-04T16:29:01.504000Z,2024-03-04T16:32:10.577000Z,,2024-03-04T16:32:11.141302Z,190.0,C232A6J3,5048,48,Male,White,United States,United States,United States,English,No,Full-Time
65e5f70207eaac3217fe1afa,613929236e3092c6bad219ab,AWAITING REVIEW,Not Applicable,2024-03-04T16:30:02.203000Z,2024-03-04T16:38:32.816000Z,,2024-03-04T16:38:33.455504Z,511.0,C232A6J3,1944,35,Male,White,United States,United States,United States,English,No,Full-Time
65e5f71042202a3cab06df4d,65ca25d9495bbd05f7fbfb6c,AWAITING REVIEW,Not Applicable,2024-03-04T16:30:29.337000Z,2024-03-04T16:34:25.482000Z,,2024-03-04T16:34:26.004942Z,237.0,C232A6J3,175,31,Male,White,United States,United States,United States,English,No,Full-Time
65e5f7203e7e5d2b96780229,631bcfaa7faf35d3abb91cbc,AWAITING REVIEW,Not Applicable,2024-03-04T16:30:27.866000Z,2024-03-04T16:33:01.009000Z,,2024-03-04T16:33:01.552872Z,154.0,C232A6J3,2505,37,Male,White,United States,United States,United States,English,No,Full-Time
