StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,archeo_basic_cons,entom_imp_learn,entom_imp_impress,entom_imp_comp,entom_imp_trust,entom_imp_cons,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,archeo_imp_cons,entom_basic_learn,entom_basic_impress,entom_basic_comp,entom_basic_trust,entom_basic_cons,Q1,gender,age,education,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 5 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",How much do you feel you’ve learnt about human history by reading this text?,How impressive do you think the findings of the archeologists described in the text are?,Would you agree that reading this text has made you think of archeologists  as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of archeology more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among archeologists?,How much do you feel you’ve learnt about insects by reading this text?,How impressive do you think the findings of the archeologists described in the text are?,Would you agree that reading this text has made you think of entomologists as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of entomology (the science of insects) more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among entomologists?,How much do you feel you’ve learnt about human history by reading this text?,How impressive do you think the findings of the archeologists described in the text are?,Would you agree that reading this text has made you think of archeologists  as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of archeology more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among archeologists?,How much do you feel you’ve learnt about insects by reading this text?,How impressive do you think the findings of the archeologists described in the text are?,Would you agree that reading this text has made you think of entomologists as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of entomology (the science of insects) more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among entomologists?,"Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID151""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID152""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID153""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775183""}","{""ImportId"":""QID1211775184_TEXT""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""PROLIFIC_PID""}"
2024-03-04 17:25:33,2024-03-04 17:27:15,0,207.113.245.199,100,101,1,2024-03-04 17:27:16,R_7NQaQs2rodeX4oF,,,,,41.8149,-89.962,anonymous,EN,1,I pay attention,5,4,4,4,4,5,5,5,5,4,,,,,,,,,,,,1,33,6,57ad04adddc11d00015bb1c3
2024-03-04 17:25:14,2024-03-04 17:28:25,0,184.58.82.63,100,190,1,2024-03-04 17:28:25,R_1HkMOTEaozax80d,,,,,36.9365,-84.0901,anonymous,EN,1,I pay attention,,,,,,,,,,,4,5,4,5,4,4,3,5,2,3,,2,28,3,649d809191fa2e4b6e84c69e
2024-03-04 17:25:23,2024-03-04 17:28:41,0,99.91.203.219,100,198,1,2024-03-04 17:28:42,R_500Kd6hfeQ9nq6w,,,,,39.711,-86.2591,anonymous,EN,1,I pay attention,,,,,,,,,,,5,5,4,3,3,2,2,4,4,5,,1,26,5,5ee1be444c9d75206ce5aa92
2024-03-04 17:26:05,2024-03-04 17:29:09,0,104.230.72.178,100,183,1,2024-03-04 17:29:09,R_6q7WS3Ip6ELLWFn,,,,,39.7838,-84.2375,anonymous,EN,1,I pay attention,4,5,4,5,4,5,5,4,4,5,,,,,,,,,,,,1,29,3,5fa1636a77c875235bd8e1f6
2024-03-04 17:26:37,2024-03-04 17:29:31,0,69.255.82.86,100,173,1,2024-03-04 17:29:31,R_7mOXdSIifXztYVr,,,,,38.3523,-75.5386,anonymous,EN,1,I pay attention,,,,,,,,,,,3,3,2,2,3,2,2,3,3,3,,2,32,3,5bf008bec5260b0001d5a317
2024-03-04 17:27:56,2024-03-04 17:29:34,0,174.106.207.115,100,98,1,2024-03-04 17:29:35,R_3rjP6xn2PQ5Hqgu,,,,,34.7002,-77.134,anonymous,EN,1,I pay attention,2,4,5,4,5,5,3,4,5,3,,,,,,,,,,,,2,28,5,63d13bce0971871b9ff88f56
2024-03-04 17:26:58,2024-03-04 17:29:54,0,172.59.168.216,100,176,1,2024-03-04 17:29:55,R_1gUA2YWYGae1A3v,,,,,38.7408,-90.337,anonymous,EN,1,I pay attention,4,4,3,5,5,5,1,5,5,3,,,,,,,,,,,,2,69,5,650d9650bb81532e8e16d578
2024-03-04 17:25:54,2024-03-04 17:30:03,0,24.117.234.235,100,249,1,2024-03-04 17:30:04,R_7Grflrufl9a5xdL,,,,,43.5553,-111.8922,anonymous,EN,1,I pay attention,2,3,3,3,4,3,4,3,3,4,,,,,,,,,,,,2,54,5,6598524eff590951e558a42f
