StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,Q1,gender,age,education,PROLIFIC_PID,id,discipline,impressiveness,learn,impressed,competence,trust,consensus,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
2024-03-07 17:40:24,2024-03-07 17:42:38,0,82.68.211.54,100,134,1,2024-03-07 17:42:39,R_2CfpDwTIcbhrpr2,NA,NA,NA,NA,53.5815,-2.1778,anonymous,EN,1,I pay attention,NA,female,66,5,632ceafce1ba9fd51c9de424,1,archeo,imp,4,3,2,2,4,65e9ede86a28f61593c88b32,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:08Z,2024-03-07T16:42:44Z,NA,2024-03-07T16:42:44Z,156,C232A6J3,778,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:40:24,2024-03-07 17:42:38,0,82.68.211.54,100,134,1,2024-03-07 17:42:39,R_2CfpDwTIcbhrpr2,NA,NA,NA,NA,53.5815,-2.1778,anonymous,EN,1,I pay attention,NA,female,66,5,632ceafce1ba9fd51c9de424,1,entom,basic,4,3,2,2,4,65e9ede86a28f61593c88b32,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:08Z,2024-03-07T16:42:44Z,NA,2024-03-07T16:42:44Z,156,C232A6J3,778,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:40:37,2024-03-07 17:42:41,0,90.249.92.7,100,123,1,2024-03-07 17:42:41,R_2QnSrj3bLwOnKBH,NA,NA,NA,NA,54.0837,-1.2332,anonymous,EN,1,I pay attention,NA,female,33,5,594c69ee4b07c400013aa466,2,archeo,basic,3,3,4,4,3,65e9edfe393ac2fc61a9b181,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:33Z,2024-03-07T16:42:44Z,NA,2024-03-07T16:42:45Z,131,C232A6J3,1096,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
2024-03-07 17:40:37,2024-03-07 17:42:41,0,90.249.92.7,100,123,1,2024-03-07 17:42:41,R_2QnSrj3bLwOnKBH,NA,NA,NA,NA,54.0837,-1.2332,anonymous,EN,1,I pay attention,NA,female,33,5,594c69ee4b07c400013aa466,2,entom,imp,4,4,4,4,3,65e9edfe393ac2fc61a9b181,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:33Z,2024-03-07T16:42:44Z,NA,2024-03-07T16:42:45Z,131,C232A6J3,1096,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
2024-03-07 17:40:00,2024-03-07 17:42:43,0,195.195.235.241,100,163,1,2024-03-07 17:42:44,R_4xbkPM7V4BftPIB,NA,NA,NA,NA,50.3345,-4.7636,anonymous,EN,1,I pay attention,NA,male,30,2,5d6a924a9e02d2001514311a,3,archeo,imp,4,4,4,4,4,65e9edde7cdc7a1a603fce1e,AWAITING REVIEW,Not Applicable,2024-03-07T16:39:58Z,2024-03-07T16:42:45Z,NA,2024-03-07T16:42:45Z,168,C232A6J3,2114,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:40:00,2024-03-07 17:42:43,0,195.195.235.241,100,163,1,2024-03-07 17:42:44,R_4xbkPM7V4BftPIB,NA,NA,NA,NA,50.3345,-4.7636,anonymous,EN,1,I pay attention,NA,male,30,2,5d6a924a9e02d2001514311a,3,entom,basic,2,2,3,3,4,65e9edde7cdc7a1a603fce1e,AWAITING REVIEW,Not Applicable,2024-03-07T16:39:58Z,2024-03-07T16:42:45Z,NA,2024-03-07T16:42:45Z,168,C232A6J3,2114,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:40:12,2024-03-07 17:43:56,0,86.140.110.238,100,224,1,2024-03-07 17:43:56,R_21cnwatZ72tggER,NA,NA,NA,NA,51.3878,-0.2945,anonymous,EN,1,I pay attention,NA,male,41,5,63d13c076dd249ca3a6bffbb,4,archeo,basic,2,3,3,4,4,65e9ede7cb78b4b5f7e108e1,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:09Z,2024-03-07T16:43:59Z,NA,2024-03-07T16:44:00Z,230,C232A6J3,931,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:40:12,2024-03-07 17:43:56,0,86.140.110.238,100,224,1,2024-03-07 17:43:56,R_21cnwatZ72tggER,NA,NA,NA,NA,51.3878,-0.2945,anonymous,EN,1,I pay attention,NA,male,41,5,63d13c076dd249ca3a6bffbb,4,entom,imp,3,4,4,4,4,65e9ede7cb78b4b5f7e108e1,AWAITING REVIEW,Not Applicable,2024-03-07T16:40:09Z,2024-03-07T16:43:59Z,NA,2024-03-07T16:44:00Z,230,C232A6J3,931,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
2024-03-07 17:41:45,2024-03-07 17:44:30,0,90.246.56.58,100,164,1,2024-03-07 17:44:30,R_1XiKmAv49lseK5r,NA,NA,NA,NA,53.8524,-1.5854,anonymous,EN,1,I pay attention,NA,female,35,6,5dec1798e4f840300cd3c680,5,archeo,basic,3,4,2,2,4,65e9ee446a28f61593c88b54,AWAITING REVIEW,Not Applicable,2024-03-07T16:41:43Z,2024-03-07T16:44:32Z,NA,2024-03-07T16:44:34Z,169,C232A6J3,623,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
2024-03-07 17:41:45,2024-03-07 17:44:30,0,90.246.56.58,100,164,1,2024-03-07 17:44:30,R_1XiKmAv49lseK5r,NA,NA,NA,NA,53.8524,-1.5854,anonymous,EN,1,I pay attention,NA,female,35,6,5dec1798e4f840300cd3c680,5,entom,imp,4,4,4,4,3,65e9ee446a28f61593c88b54,AWAITING REVIEW,Not Applicable,2024-03-07T16:41:43Z,2024-03-07T16:44:32Z,NA,2024-03-07T16:44:34Z,169,C232A6J3,623,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
