StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,archeo_clear,archeo_surprise,archeo_know,archeo_learn,archeo_knowledge1,archeo_knowledge2,archeo_knowledge3,archeo_knowledge4,archeo_knowledge5,archeo_imp,archeo_comp,archeo_trust,"entom_clear ",entom_surprise,entom_know,entom_learn,entom_knowledge1,entom_knowledge2,entom_knowledge3,entom_knowledge4,entom_knowledge5,entom_imp,entom_comp,entom_trust,text1_int_rep_q1,text1_int_rep_q2_1,text1_int_rep_q2_2,text1_int_rep_q2_3,text1_int_rep_q2_4,text1_int_rep_q2_5,text1_int_rep_q2_6,text1_int_rep_q2_7,text1_int_rep_q2_8,text2_unint_mat_q1,text2_unint_mat_q2_1,text2_unint_mat_q2_2,text2_unint_mat_q2_3,text2_unint_mat_q2_4,text2_unint_mat_q2_5,text2_unint_mat_q2_6,text2_unint_mat_q2_7,text2_unint_mat_q2_8,text1_int_mat_q1,text1_int_mat_q2_1,text1_int_mat_q2_2,text1_int_mat_q2_3,text1_int_mat_q2_4,text1_int_mat_q2_5,text1_int_mat_q2_6,text1_int_mat_q2_7,text1_int_mat_q2_8,text2_unint_rep_q1,text2_unint_rep_q2_1,text2_unint_rep_q2_2,text2_unint_rep_q2_3,text2_unint_rep_q2_4,text2_unint_rep_q2_5,text2_unint_rep_q2_6,text2_unint_rep_q2_7,text2_unint_rep_q2_8,text1_unint_rep_q1,text1_unint_rep_q2_1,text1_unint_rep_q2_2,text1_unint_rep_q2_3,text1_unint_rep_q2_4,text1_unint_rep_q2_5,text1_unint_rep_q2_6,text1_unint_rep_q2_7,text1_unint_rep_q2_8,text2_int_mat_q1,text2_int_mat_q2_1,text2_int_mat_q2_2,text2_int_mat_q2_3,text2_int_mat_q2_4,text2_int_mat_q2_5,text2_int_mat_q2_6,text2_int_mat_q2_7,text2_int_mat_q2_8,text1_unint_mat_q1,text1_unint_mat_q2_1,text1_unint_mat_q2_2,text1_unint_mat_q2_3,text1_unint_mat_q2_4,text1_unint_mat_q2_5,text1_unint_mat_q2_6,text1_unint_mat_q2_7,text1_unint_mat_q2_8,text2_int_rep_q1,text2_int_rep_q2_1,text2_int_rep_q2_2,text2_int_rep_q2_3,text2_int_rep_q2_4,text2_int_rep_q2_5,text2_int_rep_q2_6,text2_int_rep_q2_7,text2_int_rep_q2_8,Q1,education,PROLIFIC_PID,condition,benefit_band,benefit_bookclub,intention_band,intention_bookclub
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 6 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",How clear was the text ?,Did the text present any new or surprising information to you?,"After reading this text, do you now think that archeologists have more knowledge than you thought they did before?",How much do you feel you’ve learnt about human history by reading this text?,"According to the text, what can archaeologists determine from examining bones?","According to the text, how do archaeologists determine at what age someone stopped drinking their mother’s milk?","The text mentions nerves that are particularly enlarged in humans compared to apes, which are they?",Why is the canal containing a nerve going from the brain to the thorax enlarged in Neanderthals?,"According to the text, what evidence suggests that most Neanderthals were right-handed?",How impressive did you find the findings of the archaeologists described in the text ?,How competent do you think archaeologists are?,How much would you trust the discipline of archaeologists ?,How clear was the text ?,Did the text present any new or surprising information to you?,"After reading this text, do you now think that entomologists have more knowledge than you thought they did before?",How much do you feel you’ve learnt about insects by reading this text?,Which techniques have entomologists used to study flies' visual perception?,What is the order or magnitude of the shorter displays flies can perceive?,Where are the sensitive hairs found on crickets located?,What technique did entomologists use to study the sensitivity of cricket hairs?,"According to the passage, how sensitive are the cricket hairs to air motion changes?",How impressive did you find the findings of the entomologists described in the text ?,How competent do you think entomologists are?,How much would you trust the discipline of entomologists ?,Please rate your agreement with the following statement : I would like to have someone like Joe as a colleague.,How well do you think each of the following words describes Joe ? - Clever,How well do you think each of the following words describes Joe ? - Competent,How well do you think each of the following words describes Joe ? - Caring,How well do you think each of the following words describes Joe ? - Kind,How well do you think each of the following words describes Joe ? - Authentic,How well do you think each of the following words describes Joe ? - Likable,How well do you think each of the following words describes Joe ? - Manipulative,How well do you think each of the following words describes Joe ? - Trustworthy,Please rate your agreement with the following statement : I would like to have someone like Wendy in my bookclub.,How well do you think each of the following words describes Wendy ? - Clever,How well do you think each of the following words describes Wendy ? - Competent,How well do you think each of the following words describes Wendy ? - Caring,How well do you think each of the following words describes Wendy ? - Kind,How well do you think each of the following words describes Wendy ? - Authentic,How well do you think each of the following words describes Wendy ? - Likable,How well do you think each of the following words describes Wendy ? - Manipulative,How well do you think each of the following words describes Wendy ? - Trustworthy,Please rate your agreement with the following statement : I would like to have someone like Joe as a colleague.,How well do you think each of the following words describes Joe ? - Clever,How well do you think each of the following words describes Joe ? - Competent,How well do you think each of the following words describes Joe ? - Caring,How well do you think each of the following words describes Joe ? - Kind,How well do you think each of the following words describes Joe ? - Authentic,How well do you think each of the following words describes Joe ? - Likable,How well do you think each of the following words describes Joe ? - Manipulative,How well do you think each of the following words describes Joe ? - Trustworthy,Please rate your agreement with the following statement : I would like to have someone like Wendy in my bookclub.,How well do you think each of the following words describes Wendy ? - Clever,How well do you think each of the following words describes Wendy ? - Competent,How well do you think each of the following words describes Wendy ? - Caring,How well do you think each of the following words describes Wendy ? - Kind,How well do you think each of the following words describes Wendy ? - Authentic,How well do you think each of the following words describes Wendy ? - Likable,How well do you think each of the following words describes Wendy ? - Manipulative,How well do you think each of the following words describes Wendy ? - Trustworthy,Please rate your agreement with the following statement : I would like to have someone like Joe as a colleague.,How well do you think each of the following words describes Joe ? - Clever,How well do you think each of the following words describes Joe ? - Competent,How well do you think each of the following words describes Joe ? - Caring,How well do you think each of the following words describes Joe ? - Kind,How well do you think each of the following words describes Joe ? - Authentic,How well do you think each of the following words describes Joe ? - Likable,How well do you think each of the following words describes Joe ? - Manipulative,How well do you think each of the following words describes Joe ? - Trustworthy,Please rate your agreement with the following statement : I would like to have someone like Wendy in my bookclub.,How well do you think each of the following words describes Wendy ? - Clever,How well do you think each of the following words describes Wendy ? - Competent,How well do you think each of the following words describes Wendy ? - Caring,How well do you think each of the following words describes Wendy ? - Kind,How well do you think each of the following words describes Wendy ? - Authentic,How well do you think each of the following words describes Wendy ? - Likable,How well do you think each of the following words describes Wendy ? - Manipulative,How well do you think each of the following words describes Wendy ? - Trustworthy,Please rate your agreement with the following statement : I would like to have someone like Joe as a colleague.,How well do you think each of the following words describes Joe ? - Clever,How well do you think each of the following words describes Joe ? - Competent,How well do you think each of the following words describes Joe ? - Caring,How well do you think each of the following words describes Joe ? - Kind,How well do you think each of the following words describes Joe ? - Authentic,How well do you think each of the following words describes Joe ? - Likable,How well do you think each of the following words describes Joe ? - Manipulative,How well do you think each of the following words describes Joe ? - Trustworthy,Please rate your agreement with the following statement : I would like to have someone like Wendy in my bookclub.,How well do you think each of the following words describes Wendy ? - Clever,How well do you think each of the following words describes Wendy ? - Competent,How well do you think each of the following words describes Wendy ? - Caring,How well do you think each of the following words describes Wendy ? - Kind,How well do you think each of the following words describes Wendy ? - Authentic,How well do you think each of the following words describes Wendy ? - Likable,How well do you think each of the following words describes Wendy ? - Manipulative,How well do you think each of the following words describes Wendy ? - Trustworthy,"Before finishing, please provide the following information. Once you are done, please do not forget to press the arrow to complete the survey and get your completion code.",What is the highest level of education you have completed?,PROLIFIC_PID,condition,benefit_band,benefit_bookclub,intention_band,intention_bookclub
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223""}","{""ImportId"":""QID228""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID147""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID257""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID248_4""}","{""ImportId"":""QID248_5""}","{""ImportId"":""QID248_6""}","{""ImportId"":""QID248_7""}","{""ImportId"":""QID248_8""}","{""ImportId"":""QID248_9""}","{""ImportId"":""QID248_10""}","{""ImportId"":""QID277""}","{""ImportId"":""QID278_1""}","{""ImportId"":""QID278_4""}","{""ImportId"":""QID278_5""}","{""ImportId"":""QID278_6""}","{""ImportId"":""QID278_7""}","{""ImportId"":""QID278_8""}","{""ImportId"":""QID278_9""}","{""ImportId"":""QID278_10""}","{""ImportId"":""QID259""}","{""ImportId"":""QID260_1""}","{""ImportId"":""QID260_4""}","{""ImportId"":""QID260_5""}","{""ImportId"":""QID260_6""}","{""ImportId"":""QID260_7""}","{""ImportId"":""QID260_8""}","{""ImportId"":""QID260_9""}","{""ImportId"":""QID260_10""}","{""ImportId"":""QID274""}","{""ImportId"":""QID275_1""}","{""ImportId"":""QID275_4""}","{""ImportId"":""QID275_5""}","{""ImportId"":""QID275_6""}","{""ImportId"":""QID275_7""}","{""ImportId"":""QID275_8""}","{""ImportId"":""QID275_9""}","{""ImportId"":""QID275_10""}","{""ImportId"":""QID262""}","{""ImportId"":""QID263_1""}","{""ImportId"":""QID263_4""}","{""ImportId"":""QID263_5""}","{""ImportId"":""QID263_6""}","{""ImportId"":""QID263_7""}","{""ImportId"":""QID263_8""}","{""ImportId"":""QID263_9""}","{""ImportId"":""QID263_10""}","{""ImportId"":""QID271""}","{""ImportId"":""QID272_1""}","{""ImportId"":""QID272_4""}","{""ImportId"":""QID272_5""}","{""ImportId"":""QID272_6""}","{""ImportId"":""QID272_7""}","{""ImportId"":""QID272_8""}","{""ImportId"":""QID272_9""}","{""ImportId"":""QID272_10""}","{""ImportId"":""QID265""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID266_4""}","{""ImportId"":""QID266_5""}","{""ImportId"":""QID266_6""}","{""ImportId"":""QID266_7""}","{""ImportId"":""QID266_8""}","{""ImportId"":""QID266_9""}","{""ImportId"":""QID266_10""}","{""ImportId"":""QID268""}","{""ImportId"":""QID269_1""}","{""ImportId"":""QID269_4""}","{""ImportId"":""QID269_5""}","{""ImportId"":""QID269_6""}","{""ImportId"":""QID269_7""}","{""ImportId"":""QID269_8""}","{""ImportId"":""QID269_9""}","{""ImportId"":""QID269_10""}","{""ImportId"":""QID1215358043""}","{""ImportId"":""QID1215358046""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""condition""}","{""ImportId"":""benefit_band""}","{""ImportId"":""benefit_bookclub""}","{""ImportId"":""intention_band""}","{""ImportId"":""intention_bookclub""}"
2024-06-07 18:36:17,2024-06-07 18:40:29,0,86.166.201.251,100,251,1,2024-06-07 18:40:29,R_2YywX7FehBKXOFj,,,,,51.3975,-0.3507,anonymous,EN,1,I pay attention,,,,,,,,,,,,,2,4,4,3,0,0,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,6,5,4,5,7,5,7,7,7,7,7,3,6,,5,56e87c23eefcff000596f0c1,distraction,0,1,0,1
2024-06-07 18:39:33,2024-06-07 18:41:34,0,167.98.155.151,100,121,1,2024-06-07 18:41:35,R_2PpUwuWAyGNDL3S,,,,,51.5428,-0.1978,anonymous,EN,1,i pay attention,4,5,5,3,1,0,0,0,0,4,5,5,,,,,,,,,,,,,9,9,8,9,9,6,8,7,8,9,9,9,9,9,9,9,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,63d79d9bdcff357d2f18fff0,distraction,1,0,1,0
2024-06-07 18:39:09,2024-06-07 18:42:11,0,81.79.14.170,100,181,1,2024-06-07 18:42:12,R_2AFJObkKh5wr9UL,,,,,51.4805,-0.0113,anonymous,EN,1,I pay attention,,,,,,,,,,,,,5,4,4,4,1,1,1,1,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,5,5,5,8,7,2,7,7,7,6,8,8,7,7,1,7,,,,,,,,,,,,,,,,,,,,5,6093bbe2d2c5537241164571,control,1,0,0,1
2024-06-07 18:39:24,2024-06-07 18:42:24,0,86.12.239.105,100,179,1,2024-06-07 18:42:24,R_21vtAVq2TPdGomn,,,,,50.8494,-1.1777,anonymous,EN,1,I pay attention,5,5,5,4,1,0,1,0,1,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,5,5,6,3,7,8,6,7,7,7,7,7,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5f744d89a37f7b1e74d264a2,control,0,1,1,0
2024-06-07 18:39:59,2024-06-07 18:42:35,0,165.120.199.247,100,155,1,2024-06-07 18:42:35,R_2kSOGV5OIX4QRHk,,,,,56.4806,-2.9358,anonymous,EN,1,"I pay attention ",,,,,,,,,,,,,4,4,5,4,0,0,0,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,5,7,8,8,8,8,8,8,3,8,,,,,,,,,,,,,,,,,,,,6,5f58b678d49cef03d3696884,distraction,1,0,0,1
2024-06-07 18:39:50,2024-06-07 18:42:37,0,86.3.109.61,100,166,1,2024-06-07 18:42:37,R_242ZJ8x98nb9bFd,,,,,51.4866,-3.1549,anonymous,EN,1,I pay attention,4,5,5,4,0,0,0,0,1,5,4,4,,,,,,,,,,,,,6,7,5,5,5,4,7,3,5,8,7,7,8,7,6,8,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,62ce98befb7d0dbd39cc070d,control,1,0,1,0
2024-06-07 18:39:06,2024-06-07 18:42:38,0,83.100.130.146,100,212,1,2024-06-07 18:42:39,R_2v3bt62YkbYOxCr,,,,,53.7426,-0.3295,anonymous,EN,1,i pay attention,2,4,5,3,1,1,1,0,1,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,4,8,5,6,6,7,6,6,2,6,,2,5ea5ab953728485a2d53e033,control,0,1,0,1
2024-06-07 18:39:21,2024-06-07 18:42:42,0,86.4.149.120,100,200,1,2024-06-07 18:42:42,R_8CJxpOZzuprY8fE,,,,,53.5866,-2.4354,anonymous,EN,1,I pay attention,5,2,4,2,0,1,1,1,1,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,5,5,8,7,5,5,9,7,8,9,9,9,9,1,9,,,,,,,,,,,,,,,,,,,,5,55d4c46f58c35800113dc131,control,1,0,0,1
